date,Close
2019-01-02,157.2
2019-01-03,152.29
2019-01-04,156.63
2019-01-07,156.49
2019-01-08,158.15
2019-01-09,158.46
2019-01-10,161.85
2019-01-11,160.21
2019-01-14,158.02
2019-01-15,157.23
2019-01-16,157.24
2019-01-17,157.26
2019-01-18,160.79
2019-01-22,160.84
2019-01-23,158.93
2019-01-24,157.37
2019-01-25,158.84
2019-01-28,158.21
2019-01-29,161.22
2019-01-30,162.92
2019-01-31,163.01
2019-02-01,165.76
2019-02-04,163.5
2019-02-05,164.99
2019-02-06,163.42
2019-02-07,160.69
2019-02-08,161.22
2019-02-11,161.35
2019-02-12,167.53
2019-02-13,167.38
2019-02-14,166.5
2019-02-15,168.54
2019-02-19,167.86
2019-02-20,170.3
2019-02-21,171.4
2019-02-22,173.5
2019-02-25,174.62
2019-02-26,173.91
2019-02-27,174.5
2019-02-28,173.24
2019-03-01,168.38
2019-03-04,168.7
2019-03-05,168.44
2019-03-06,169.13
2019-03-07,167.47
2019-03-08,169.46
2019-03-11,171.28
2019-03-12,172.32
2019-03-13,174.39
2019-03-14,174.21
2019-03-15,176.43
2019-03-18,174.55
2019-03-19,173.58
2019-03-20,176.63
2019-03-21,175.1
2019-03-22,169.86
2019-03-25,170.0
2019-03-26,170.98
2019-03-27,169.48
2019-03-28,173.7
2019-03-29,175.93
2019-04-01,176.58
2019-04-02,178.02
2019-04-03,182.74
2019-04-04,183.9
2019-04-05,184.62
2019-04-08,184.84
2019-04-09,182.9
2019-04-10,181.02
2019-04-11,179.85
2019-04-12,180.35
2019-04-15,180.14
2019-04-16,180.62
2019-04-17,179.91
2019-04-18,180.4
2019-04-22,178.9
2019-04-23,179.33
2019-04-24,177.62
2019-04-25,176.28
2019-04-26,178.26
2019-04-29,177.1
2019-04-30,180.26
2019-05-01,178.29
2019-05-02,180.49
2019-05-03,180.96
2019-05-06,178.63
2019-05-07,174.57
2019-05-08,176.54
2019-05-09,173.35
2019-05-10,181.59
2019-05-13,180.68
2019-05-14,180.92
2019-05-15,180.86
2019-05-16,187.65
2019-05-17,189.0
2019-05-20,185.26
2019-05-21,187.27
2019-05-22,188.24
2019-05-23,185.08
2019-05-24,187.86
2019-05-28,184.31
2019-05-29,183.01
2019-05-30,183.41
2019-05-31,180.55
2019-06-03,187.28
2019-06-04,191.35
2019-06-05,192.75
2019-06-06,197.35
2019-06-07,200.05
2019-06-10,200.42
2019-06-11,200.79
2019-06-12,201.69
2019-06-13,202.74
2019-06-14,202.71
2019-06-17,201.26
2019-06-18,204.02
2019-06-19,200.59
2019-06-20,202.34
2019-06-21,202.13
2019-06-24,203.38
2019-06-25,202.8
2019-06-26,200.6
2019-06-27,199.53
2019-06-28,200.8
2019-07-01,203.0
2019-07-02,203.54
2019-07-03,203.61
2019-07-05,202.43
2019-07-08,201.67
2019-07-09,200.97
2019-07-10,201.77
2019-07-11,202.81
2019-07-12,203.98
2019-07-15,204.07
2019-07-16,202.59
2019-07-17,201.82
2019-07-18,203.64
2019-07-19,203.38
2019-07-22,203.58
2019-07-23,206.82
2019-07-24,202.75
2019-07-25,199.89
2019-07-26,200.96
2019-07-29,199.77
2019-07-30,196.5
2019-07-31,191.28
2019-08-01,190.42
2019-08-02,187.71
2019-08-05,190.63
2019-08-06,188.76
2019-08-07,190.78
2019-08-08,192.61
2019-08-09,191.97
2019-08-12,192.2
2019-08-13,192.9
2019-08-14,185.64
2019-08-15,186.64
2019-08-16,188.79
2019-08-19,189.11
2019-08-20,187.69
2019-08-21,188.74
2019-08-22,187.13
2019-08-23,184.26
2019-08-26,184.92
2019-08-27,184.74
2019-08-28,184.97
2019-08-29,187.66
2019-08-30,188.91
2019-09-03,187.23
2019-09-04,187.56
2019-09-05,187.1
2019-09-06,189.52
2019-09-09,185.21
2019-09-10,185.72
2019-09-11,187.61
2019-09-12,191.57
2019-09-13,192.16
2019-09-16,188.52
2019-09-17,192.24
2019-09-18,192.66
2019-09-19,194.24
2019-09-20,194.11
2019-09-23,193.52
2019-09-24,191.52
2019-09-25,192.25
2019-09-26,192.3
2019-09-27,191.55
2019-09-30,193.72
2019-10-01,188.55
2019-10-02,184.11
2019-10-03,184.64
2019-10-04,186.18
2019-10-07,188.58
2019-10-08,184.11
2019-10-09,187.39
2019-10-10,191.23
2019-10-11,194.25
2019-10-14,192.53
2019-10-15,195.18
2019-10-16,196.85
2019-10-17,196.64
2019-10-18,195.79
2019-10-21,194.97
2019-10-22,191.47
2019-10-23,193.7
2019-10-24,192.99
2019-10-25,195.0
2019-10-28,196.77
2019-10-29,199.11
2019-10-30,199.19
2019-10-31,198.35
2019-11-01,198.8
2019-11-04,200.76
2019-11-05,200.31
2019-11-06,201.12
2019-11-07,202.6
2019-11-08,203.0
2019-11-11,202.29
2019-11-12,205.76
2019-11-13,207.82
2019-11-14,208.64
2019-11-15,209.71
2019-11-18,209.11
2019-11-19,207.43
2019-11-20,206.18
2019-11-21,206.26
2019-11-22,204.91
2019-11-25,205.94
2019-11-26,205.14
2019-11-27,206.0
2019-11-29,206.21
2019-12-02,200.63
2019-12-03,202.04
2019-12-04,202.75
2019-12-05,203.75
2019-12-06,205.53
2019-12-09,205.33
2019-12-10,203.95
2019-12-11,205.64
2019-12-12,209.92
2019-12-13,209.05
2019-12-16,210.02
2019-12-17,209.66
2019-12-18,208.33
2019-12-19,209.4
2019-12-20,212.11
2019-12-23,211.77
2019-12-24,211.62
2019-12-26,212.75
2019-12-27,212.26
2019-12-30,211.49
2019-12-31,212.9
2020-01-02,210.74
2020-01-03,205.26
2020-01-06,204.39
2020-01-07,204.83
2020-01-08,207.39
2020-01-09,208.85
2020-01-10,209.08
2020-01-13,211.8
2020-01-14,209.96
2020-01-15,211.44
2020-01-16,213.06
2020-01-17,214.1
2020-01-21,211.73
2020-01-22,211.08
2020-01-23,209.62
2020-01-24,209.99
2020-01-27,204.88
2020-01-28,207.88
2020-01-29,208.23
2020-01-30,208.23
2020-01-31,203.13
2020-02-03,209.44
2020-02-04,213.5
2020-02-05,216.74
2020-02-06,216.75
2020-02-07,214.16
2020-02-10,215.44
2020-02-11,216.22
2020-02-12,217.2
2020-02-13,221.26
2020-02-14,222.64
2020-02-18,223.55
2020-02-19,222.48
2020-02-20,221.2
2020-02-21,218.34
2020-02-24,210.55
2020-02-25,201.65
2020-02-26,203.41
2020-02-27,194.95
2020-02-28,191.01
2020-03-02,198.15
2020-03-03,195.39
2020-03-04,205.53
2020-03-05,196.51
2020-03-06,189.2
2020-03-09,173.13
2020-03-10,176.21
2020-03-11,173.92
2020-03-12,158.02
2020-03-13,176.5
2020-03-16,158.35
2020-03-17,163.88
2020-03-18,157.51
2020-03-19,154.01
2020-03-20,151.3
2020-03-23,150.0
2020-03-24,164.81
2020-03-25,165.3
2020-03-26,174.19
2020-03-27,167.34
2020-03-30,176.8
2020-03-31,173.0
2020-04-01,160.87
2020-04-02,164.09
2020-04-03,162.13
2020-04-06,175.92
2020-04-07,179.94
2020-04-08,186.94
2020-04-09,189.48
2020-04-13,186.11
2020-04-14,189.84
2020-04-15,181.15
2020-04-16,183.13
2020-04-17,188.55
2020-04-20,185.0
2020-04-21,178.88
2020-04-22,181.6
2020-04-23,181.3
2020-04-24,181.47
2020-04-27,184.58
2020-04-28,186.88
2020-04-29,188.69
2020-04-30,183.99
2020-05-01,180.33
2020-05-04,182.66
2020-05-05,182.01
2020-05-06,178.95
2020-05-07,184.79
2020-05-08,188.41
2020-05-11,186.86
2020-05-12,183.09
2020-05-13,178.78
2020-05-14,179.25
2020-05-15,182.59
2020-05-18,192.25
2020-05-19,190.25
2020-05-20,195.99
2020-05-21,193.67
2020-05-22,190.87
2020-05-26,193.0
2020-05-27,193.13
2020-05-28,200.04
2020-05-29,202.34
2020-06-01,205.22
2020-06-02,206.26
2020-06-03,212.89
2020-06-04,212.56
2020-06-05,221.28
2020-06-08,216.43
2020-06-09,214.23
2020-06-10,213.36
2020-06-11,199.11
2020-06-12,201.94
2020-06-15,203.24
2020-06-16,208.28
2020-06-17,207.48
2020-06-18,208.16
2020-06-19,208.05
2020-06-22,209.97
2020-06-23,212.37
2020-06-24,206.07
2020-06-25,209.14
2020-06-26,206.82
2020-06-29,211.28
2020-06-30,212.11
2020-07-01,214.77
2020-07-02,221.26
2020-07-06,224.65
2020-07-07,224.53
2020-07-08,221.52
2020-07-09,221.95
2020-07-10,225.95
2020-07-13,225.82
2020-07-14,233.13
2020-07-15,237.63
2020-07-16,238.89
2020-07-17,242.6
2020-07-20,240.32
2020-07-21,244.0
2020-07-22,245.34
2020-07-23,245.98
2020-07-24,244.07
2020-07-27,246.86
2020-07-28,243.7
2020-07-29,244.71
2020-07-30,242.02
2020-07-31,245.11
2020-08-03,244.31
2020-08-04,243.85
2020-08-05,248.27
2020-08-06,246.66
2020-08-07,245.31
2020-08-10,243.34
2020-08-11,244.85
2020-08-12,248.63
2020-08-13,249.24
2020-08-14,248.5
2020-08-17,248.43
2020-08-18,246.88
2020-08-19,247.24
2020-08-20,245.31
2020-08-21,244.3
2020-08-24,248.91
2020-08-25,250.08
2020-08-26,252.88
2020-08-27,250.93
2020-08-28,253.57
2020-08-31,249.74
2020-09-01,256.94
2020-09-02,260.23
2020-09-03,250.45
2020-09-04,247.7
2020-09-08,243.05
2020-09-09,251.15
2020-09-10,247.29
2020-09-11,250.17
2020-09-14,251.25
2020-09-15,250.73
2020-09-16,248.84
2020-09-17,250.39
2020-09-18,246.1
2020-09-21,238.44
2020-09-22,238.23
2020-09-23,233.15
2020-09-24,234.5
2020-09-25,232.75
2020-09-28,237.05
2020-09-29,236.43
2020-09-30,238.13
2020-10-01,232.7
2020-10-02,232.15
2020-10-05,235.09
2020-10-06,232.08
2020-10-07,238.95
2020-10-08,237.75
2020-10-09,239.94
2020-10-12,240.26
2020-10-13,235.98
2020-10-14,234.86
2020-10-15,229.6
2020-10-16,233.08
2020-10-19,229.87
2020-10-20,233.24
2020-10-21,230.91
2020-10-22,233.2
2020-10-23,234.27
2020-10-26,227.99
2020-10-27,225.47
2020-10-28,216.91
2020-10-29,219.84
2020-10-30,220.34
2020-11-02,228.58
2020-11-03,234.09
2020-11-04,235.29
2020-11-05,249.76
2020-11-06,250.32
2020-11-09,257.65
2020-11-10,262.04
2020-11-11,259.62
2020-11-12,255.07
2020-11-13,257.06
